id;comb_frame_quantity;wax_weight;time_wasted_centrifuge;initial_date_decantation;final_date_decantation;produced_honey_quantity;state
1;71750;87213;27299;2023-12-08T17:29:38;2023-12-08T17:00:20;89691;FINALIZED
2;38377;74904;94193;2023-12-08T10:40:49;2023-12-07T23:21:25;87830;FINALIZED
3;70272;13628;68708;2023-12-08T19:08:22;2023-12-08T05:14:50;36799;FINALIZED
4;75236;10772;4762;2023-12-08T02:39:58;2023-12-07T23:50:33;49759;DECANTATION
5;71132;47496;96833;2023-12-08T06:06:13;2023-12-08T06:53:37;75207;DECANTATION
6;79876;57562;70241;2023-12-08T19:49:49;2023-12-08T01:54:44;23709;FINALIZED
7;92258;1350;65653;2023-12-08T14:47:47;2023-12-08T01:25:13;34661;DECANTATION
8;35775;89987;82387;2023-12-07T23:27:38;2023-12-08T19:16:34;59466;DECANTATION
9;96162;14205;19712;2023-12-08T05:45:02;2023-12-08T03:14:08;47051;FINALIZED
10;3988;91806;614;2023-12-08T10:48:04;2023-12-08T04:31:11;30808;FINALIZED
