id;name;number;coord_x;coord_y;coord_z;controlled_zone
1;connecting;36187;verde Cambridgeshire;National Credit Mercearia;redefine capacitor;false
2;Berkshire;70760;Rato;Algodão knowledge;generating help-desk neural;true
3;vortals Dynamic Costa;80990;rosa SQL Algodão;Ohio Franc;Cambridgeshire;false
4;e-commerce Executive capacitor;8380;index Atum;networks;Interface programming vertical;true
5;up;16701;calculate reciprocal program;Networked bypassing Realigned;monitor;true
6;Liaison Directives;70026;Saboroso;panel syndicate;wireless Brand à;true
7;Account;67176;Bedfordshire Lodge Quality-focused;magenta;Bicicleta;true
8;Dynamic HTTP synergize;84124;policy Strategist;dynamic laranja Borders;array Configuration;false
9;Líbia;95415;compressing;withdrawal;SDD roxo Borders;true
10;Bacon Cambridgeshire;31306;synergies Buckinghamshire Intranet;Batatas;open Falls California;false
