id;name;state;coord_x;coord_y;coord_z;number;intensive;transhumance
1;Liaison parse;ANNULLED;Representative;optimize calculating District;1080p dynamic;39112;true;false
2;Madeira;NOT_APPROVED;Account Falls synthesizing;capability deposit;Future Sapatos Plástico;23225;false;false
3;Agent responsive Meadows;APPROVED;Saboroso Nevada;harness multimedia;quantifying;34939;false;false
4;Money Bulgária Buckinghamshire;NOT_APPROVED;Maurícia;South Indiana;analyzer infrastructures;8580;false;false
5;Vermont Computadores Account;NOT_APPROVED;Rústico ROI;Producer redefine Metal;Sabonete initiatives payment;12447;true;false
6;bypass deposit;APPROVED;Lustroso feed;e-business Mão Plaza;synthesizing navigating transmit;59086;true;true
7;transmitting Mónaco Island;APPROVED;Radial Fork;Crianças strategize Sapatos;Berkshire Carro Graphic;49837;false;false
8;revolutionize Avon California;ANNULLED;Marketing;time-frame initiatives instruction;Congelado;19892;true;false
9;Home;PENDING;Corporate vertical invoice;Impressionante;and;74283;false;false
10;Response;PENDING;state Cuba;Impressionante partnerships Horizontal;communities;36864;true;true
