id;zone_number;zone_name;number_hives;intensive;transhumance;coord_x;coord_y;coord_z;number_frames
1;52538;Betão;59876;false;true;up Incrível Bedfordshire;attitude-oriented utilize;Borracha Security;9126
2;93247;moratorium SSL action-items;5844;false;true;Future;Beleza;RSS Mandatory District;99363
3;46618;enable;73705;false;false;Industrial Saboroso;eyeballs infrastructure visualize;Brinquedos;19911
4;7282;program extend Pennsylvania;72115;false;false;Dollar Camp Linda;Roupas THX;Madeira;66143
5;13366;homogeneous Toalhas compressing;6490;false;false;Inverse Bedfordshire Honduras;Bicicleta Peso Program;Bedfordshire;71979
6;36956;alarm Bedfordshire Architect;92338;true;false;SMTP Artesanal Administrator;Brinquedos Exclusive bricks-and-clicks;Beleza Cambridgeshire;84673
7;31929;Circles Dynamic;83571;true;true;reboot Creative;innovate Oklahoma schemas;Dakota Pizza parsing;5067
8;89794;PNG overriding Moçambique;39611;true;false;Saboroso;Lodge aggregate;Filmes program;63178
9;93148;Yen convergence strategic;46621;true;true;generation reserved;West District Factors;Teclado;55828
10;34884;deposit Avon;8301;false;false;withdrawal Forges Creative;input deposit;Leu;71419
