id;wax_weight;time_wasted_centrifuge;initial_date_decantation;final_date_decantation;produced_honey_quantity;state
1;71750;87213;2023-12-27T13:25:37;2023-12-27T16:12:06;17773;ANNULLED
2;57739;38377;2023-12-27T02:00:07;2023-12-26T21:22:21;44128;ANNULLED
3;87830;80666;2023-12-27T03:06:48;2023-12-27T16:42:29;68708;DECANTATION
4;66765;36799;2023-12-27T06:18:27;2023-12-27T01:55:20;10772;DECANTATION
5;77521;89286;2023-12-27T08:02:12;2023-12-27T10:23:53;71132;FINALIZED
6;96833;63198;2023-12-27T05:36:05;2023-12-27T01:55:45;39515;ANNULLED
7;57562;70241;2023-12-27T18:32:17;2023-12-27T00:37:12;23709;ANNULLED
8;92258;1350;2023-12-27T04:13:19;2023-12-27T13:30:15;82711;FINALIZED
9;13053;35775;2023-12-26T22:22:55;2023-12-27T00:12:22;90877;DECANTATION
10;59466;32531;2023-12-26T20:54:00;2023-12-27T16:34:10;19712;FINALIZED
