id;date;note;type;state
1;2023-12-27;Organized management;EXTERNAL;ANNULLED
2;2023-12-27;hacking;EXTERNAL;ANNULLED
3;2023-12-27;interface Electrónica;INTERNAL;REGISTERED
4;2023-12-27;Synergized methodologies;EXTERNAL;ANNULLED
5;2023-12-27;Strategist;INTERNAL;ANNULLED
6;2023-12-26;XML Tanzânia EXE;INTERNAL;ANNULLED
7;2023-12-27;Suave Virginia;INTERNAL;REGISTERED
8;2023-12-27;Bielorrússia Networked Adaptive;EXTERNAL;REGISTERED
9;2023-12-27;Strategist Montana marfim;INTERNAL;REGISTERED
10;2023-12-27;haptic cross-platform Kentucky;INTERNAL;REGISTERED
