id;observations;date;state
1;Cambridgeshire Congelado;2023-12-27T10:01:39;ANNULLED
2;ouro Granito;2023-12-27T12:05:54;ANNULLED
3;Reduced;2023-12-27T03:37:41;REGISTERED
4;Missouri;2023-12-27T02:40:56;REGISTERED
5;up índigo;2023-12-27T06:10:13;REGISTERED
6;roxo open-source;2023-12-27T09:23:47;ANNULLED
7;vermelho;2023-12-27T14:39:15;ANNULLED
8;deposit portals out-of-the-box;2023-12-27T15:50:47;ANNULLED
9;Eslovénia;2023-12-27T05:40:26;REGISTERED
10;streamline Madeira Vision-oriented;2023-12-27T14:42:09;ANNULLED
